algorithm,gamma,rho,t,error,kernels_1,kernels_2,kernels_3,kernels_4,kernels_5,kernels_6,kernels_7,kernels_8,kernels_9,kernels_10,kernels_11,kernels_12,kernels_13,kernels_14,kernels_15,kernels_16,kernels_17,kernels_18,kernels_19,kernels_20,kernels_21,kernels_22,kernels_23,kernels_24,kernels_25,kernels_26,kernels_27,kernels_28,kernels_29,kernels_30,kernels_31,kernels_32,kernels_33,kernels_34,kernels_35,kernels_36,kernels_37,kernels_38,kernels_39,kernels_40,kernels_41,kernels_42,kernels_43,kernels_44,kernels_45,kernels_46,kernels_47,kernels_48,kernels_49,kernels_50,kernels_51,kernels_52,kernels_53,kernels_54,kernels_55,kernels_56,kernels_57,kernels_58,kernels_59,kernels_60,kernels_61,kernels_62,kernels_63,kernels_64,images,problem
douglasrachfordprimal,0.05,0.1,1,9.15284547309848,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
douglasrachfordprimal,0.05,0.1,2,10.1381448408952,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
douglasrachfordprimal,0.05,0.1,3,47.6615342430559,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
douglasrachfordprimal,0.05,0.1,4,68.3159586807499,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
douglasrachfordprimal,0.05,0.2,1,8.01888000259419,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
douglasrachfordprimal,0.05,0.2,2,10.1574112300191,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
douglasrachfordprimal,0.05,0.2,3,47.7436675463649,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
douglasrachfordprimal,0.05,0.2,4,68.192173707961,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
douglasrachfordprimal,0.05,0.3,1,7.57642949455851,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
douglasrachfordprimal,0.05,0.3,2,10.1415151604806,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0396589455082867,0.0468515082394857,0.0495280292438231,0.0468515082394857,0.0396589455082867,0.0375157550304212,0.0443196278517048,0.0468515082394857,0.0443196278517048,0.0375157550304212,0.0317564010287247,0.0375157550304212,0.0396589455082867,0.0375157550304212,0.0317564010287247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testimages/cameraman.jpg,l1
